================================================================================
KENYA COFFEE FACTORY MANAGEMENT SYSTEM
COMPLETE FARMER CREDENTIALS LIST
================================================================================

No.   Username                  Password        Full Name                      Member No.   Phone          
51    ongeri51                  farmer51          Ongeri Nyambane                FARM0051     +254717000001  
52    kerubo52                  farmer52          Kerubo Momanyi                 FARM0052     +254717000002  
53    nyambane53                farmer53          Nyambane Ongeri                FARM0053     +254717000003  
54    kwamboka54                farmer54          Kwamboka Ongwae                FARM0054     +254717000004  
55    momanyi55                 farmer55          Momanyi Kerubo                 FARM0055     +254717000005  
56    moraa56                   farmer56          Moraa Nyakundi                 FARM0056     +254717000006  
57    nyakundi57                farmer57          Nyakundi Ongeri                FARM0057     +254717000007  
58    bosibori58                farmer58          Bosibori Momanyi               FARM0058     +254717000008  
59    ongwae59                  farmer59          Ongwae Kerubo                  FARM0059     +254717000009  
60    kemunto60                 farmer60          Kemunto Nyambane               FARM0060     +254717000010  
61    mwirigi61                 farmer61          Mwirigi Muthuri                FARM0061     +254718000001  
62    nkirote62                 farmer62          Nkirote Mugambi                FARM0062     +254718000002  
63    mugambi63                 farmer63          Mugambi Gitonga                FARM0063     +254718000003  
64    kanana64                  farmer64          Kanana Murithi                 FARM0064     +254718000004  
65    murithi65                 farmer65          Murithi Mwirigi                FARM0065     +254718000005  
66    gacheri66                 farmer66          Gacheri Mugambi                FARM0066     +254718000006  
67    gitonga67                 farmer67          Gitonga Muthuri                FARM0067     +254718000007  
68    karimi68                  farmer68          Karimi Murithi                 FARM0068     +254718000008  
69    muthuri69                 farmer69          Muthuri Mwirigi                FARM0069     +254718000009  
70    ntinyari70                farmer70          Ntinyari Gitonga               FARM0070     +254718000010  
71    katana71                  farmer71          Katana Ngumbao                 FARM0071     +254719000001  
72    nyevu72                   farmer72          Nyevu Kazungu                  FARM0072     +254719000002  
73    kazungu73                 farmer73          Kazungu Charo                  FARM0073     +254719000003  
74    nyota74                   farmer74          Nyota Katana                   FARM0074     +254719000004  
75    charo75                   farmer75          Charo Ngumbao                  FARM0075     +254719000005  
76    nyang'anyi76              farmer76          Nyang'anyi Kazungu             FARM0076     +254719000006  
77    ngumbao77                 farmer77          Ngumbao Katana                 FARM0077     +254719000007  
78    zawadi78                  farmer78          Zawadi Charo                   FARM0078     +254719000008  
79    baya79                    farmer79          Baya Kazungu                   FARM0079     +254719000009  
80    riziki80                  farmer80          Riziki Ngumbao                 FARM0080     +254719000010  
81    abdullahi81               farmer81          Abdullahi Hassan               FARM0081     +254720000001  
82    fatuma82                  farmer82          Fatuma Mohammed                FARM0082     +254720000002  
83    ahmed83                   farmer83          Ahmed Ibrahim                  FARM0083     +254720000003  
84    amina84                   farmer84          Amina Omar                     FARM0084     +254720000004  
85    mwangi85                  farmer85          Mwangi Kimani                  FARM0085     +254720000005  
86    njeri86                   farmer86          Njeri Githinji                 FARM0086     +254720000006  
87    omondi87                  farmer87          Omondi Okello                  FARM0087     +254720000007  
88    anyango88                 farmer88          Anyango Oduor                  FARM0088     +254720000008  
89    wanjiku89                 farmer89          Wanjiku Ndungu                 FARM0089     +254720000009  
90    kamau90                   farmer90          Kamau Thuo                     FARM0090     +254720000010  

================================================================================
Total Farmers: 90
Generated: 2026-06-25 12:47:38
